date,merchant,description,amount,category,profile,bank,currency
2024-04-27,Petro Canada,Transportation payment - Petro Canada,-36.34,Transportation,Family,RBC,CAD
2024-04-28,Canada Child Benefit,Canada Child Benefit income deposit,5906.4,Income,Family,RBC,CAD
2024-04-28,Starbucks,Starbucks debit transaction,-26.13,Coffee,Family,RBC,CAD
2024-05-01,Payroll Deposit,Direct deposit from Payroll Deposit,9746.81,Income,Family,RBC,CAD
2024-05-02,Property Tax,RBC card transaction at Property Tax,-4117.91,Housing,Family,RBC,CAD
2024-05-02,Swiss Chalet,Dining payment - Swiss Chalet,-42.52,Dining,Family,RBC,CAD
2024-05-02,TFSA Transfer,RBC card transaction at TFSA Transfer,-651.47,Savings/Investments,Family,RBC,CAD
2024-05-05,Costco,RBC card transaction at Costco,-125.99,Groceries,Family,RBC,CAD
2024-05-05,Kids & Company,Kids & Company purchase,-666.29,Childcare,Family,RBC,CAD
2024-05-10,Bell Internet,RBC card transaction at Bell Internet,-167.65,Utilities,Family,RBC,CAD
2024-05-10,Canadian Tire Gas,RBC card transaction at Canadian Tire Gas,-243.29,Transportation,Family,RBC,CAD
2024-05-11,Shell,RBC card transaction at Shell,-203.11,Transportation,Family,RBC,CAD
2024-05-11,Walmart Grocery,Walmart Grocery debit transaction,-314.11,Groceries,Family,RBC,CAD
2024-05-13,Dental Clinic,Dental Clinic debit transaction,-366.78,Healthcare,Family,RBC,CAD
2024-05-14,Sun Life,Insurance payment - Sun Life,-250.22,Insurance,Family,RBC,CAD
2024-05-15,Spotify Family,RBC card transaction at Spotify Family,-13.74,Subscriptions,Family,RBC,CAD
2024-05-15,Uber Eats,RBC card transaction at Uber Eats,-75.47,Dining,Family,RBC,CAD
2024-05-18,Manulife Insurance,Insurance payment - Manulife Insurance,-181.1,Insurance,Family,RBC,CAD
2024-05-19,Swiss Chalet,Swiss Chalet debit transaction,-204.61,Dining,Family,RBC,CAD
2024-05-20,TFSA Transfer,TFSA Transfer purchase,-572.35,Savings/Investments,Family,RBC,CAD
2024-05-28,Petro Canada,Transportation payment - Petro Canada,-47.52,Transportation,Family,RBC,CAD
2024-05-29,Dental Clinic,RBC card transaction at Dental Clinic,-324.84,Healthcare,Family,RBC,CAD
2024-05-30,Canadian Tire Gas,Canadian Tire Gas debit transaction,-80.33,Transportation,Family,RBC,CAD
2024-05-30,Petro Canada,Petro Canada debit transaction,-57.2,Transportation,Family,RBC,CAD
2024-06-01,Farm Boy,Farm Boy debit transaction,-146.89,Groceries,Family,RBC,CAD
2024-06-01,Payroll Deposit,Direct deposit from Payroll Deposit,9659.73,Income,Family,RBC,CAD
2024-06-01,Uber Eats,Uber Eats purchase,-112.21,Dining,Family,RBC,CAD
2024-06-02,Property Tax,Housing payment - Property Tax,-2218.73,Housing,Family,RBC,CAD
2024-06-03,Swiss Chalet,RBC card transaction at Swiss Chalet,-202.11,Dining,Family,RBC,CAD
2024-06-05,Kids & Company,Childcare payment - Kids & Company,-1069.26,Childcare,Family,RBC,CAD
2024-06-08,Shell,RBC card transaction at Shell,-104.21,Transportation,Family,RBC,CAD
2024-06-10,Costco,Groceries payment - Costco,-373.66,Groceries,Family,RBC,CAD
2024-06-10,Hydro One,RBC card transaction at Hydro One,-123.84,Utilities,Family,RBC,CAD
2024-06-10,Loblaws,Groceries payment - Loblaws,-90.36,Groceries,Family,RBC,CAD
2024-06-15,Disney+,Disney+ purchase,-17.98,Subscriptions,Family,RBC,CAD
2024-06-17,Shoppers Drug Mart,RBC card transaction at Shoppers Drug Mart,-264.21,Healthcare,Family,RBC,CAD
2024-06-18,Starbucks,RBC card transaction at Starbucks,-26.2,Coffee,Family,RBC,CAD
2024-06-18,Sun Life,Sun Life debit transaction,-104.61,Insurance,Family,RBC,CAD
2024-06-19,Swiss Chalet,Dining payment - Swiss Chalet,-99.06,Dining,Family,RBC,CAD
2024-06-20,Wealthsimple,Wealthsimple purchase,-1237.71,Savings/Investments,Family,RBC,CAD
2024-06-24,Uber Eats,Uber Eats purchase,-109.05,Dining,Family,RBC,CAD
2024-06-25,Loblaws,Groceries payment - Loblaws,-386.61,Groceries,Family,RBC,CAD
2024-06-27,Tim Hortons,RBC card transaction at Tim Hortons,-17.95,Coffee,Family,RBC,CAD
2024-06-28,Uber Eats,Uber Eats purchase,-69.73,Dining,Family,RBC,CAD
2024-07-01,Canada Child Benefit,Canada Child Benefit income deposit,9636.35,Income,Family,RBC,CAD
2024-07-02,Property Tax,Property Tax debit transaction,-2577.43,Housing,Family,RBC,CAD
2024-07-06,Shell,Shell debit transaction,-107.49,Transportation,Family,RBC,CAD
2024-07-06,Uber Eats,Uber Eats debit transaction,-39.47,Dining,Family,RBC,CAD
2024-07-10,Enbridge Gas,Utilities payment - Enbridge Gas,-152.32,Utilities,Family,RBC,CAD
2024-07-13,Farm Boy,Farm Boy purchase,-207.25,Groceries,Family,RBC,CAD
2024-07-14,Loblaws,RBC card transaction at Loblaws,-212.04,Groceries,Family,RBC,CAD
2024-07-15,Netflix,Subscriptions payment - Netflix,-21.83,Subscriptions,Family,RBC,CAD
2024-07-16,Farm Boy,RBC card transaction at Farm Boy,-186.72,Groceries,Family,RBC,CAD
2024-07-18,Costco,Costco debit transaction,-146.23,Groceries,Family,RBC,CAD
2024-07-18,Starbucks,RBC card transaction at Starbucks,-10.62,Coffee,Family,RBC,CAD
2024-07-18,Starbucks,Starbucks debit transaction,-10.15,Coffee,Family,RBC,CAD
2024-07-18,Sun Life,Insurance payment - Sun Life,-263.28,Insurance,Family,RBC,CAD
2024-07-20,Wealthsimple,Wealthsimple debit transaction,-435.75,Savings/Investments,Family,RBC,CAD
2024-07-23,Walmart Grocery,Groceries payment - Walmart Grocery,-169.71,Groceries,Family,RBC,CAD
2024-07-24,Starbucks,Coffee payment - Starbucks,-24.49,Coffee,Family,RBC,CAD
2024-07-28,Canadian Tire Gas,Transportation payment - Canadian Tire Gas,-100.05,Transportation,Family,RBC,CAD
2024-08-01,Canada Child Benefit,Direct deposit from Canada Child Benefit,5414.98,Income,Family,RBC,CAD
2024-08-02,Property Tax,RBC card transaction at Property Tax,-3618.1,Housing,Family,RBC,CAD
2024-08-03,Costco,Groceries payment - Costco,-289.73,Groceries,Family,RBC,CAD
2024-08-04,Shell,Shell purchase,-35.85,Transportation,Family,RBC,CAD
2024-08-07,Tim Hortons,Coffee payment - Tim Hortons,-16.64,Coffee,Family,RBC,CAD
2024-08-08,Canada Child Benefit,Direct deposit from Canada Child Benefit,8723.33,Income,Family,RBC,CAD
2024-08-10,Rogers Mobile,Rogers Mobile purchase,-391.05,Utilities,Family,RBC,CAD
2024-08-10,Tim Hortons,Tim Hortons debit transaction,-9.89,Coffee,Family,RBC,CAD
2024-08-15,Netflix,Subscriptions payment - Netflix,-21.24,Subscriptions,Family,RBC,CAD
2024-08-15,Sun Life,RBC card transaction at Sun Life,-289.5,Insurance,Family,RBC,CAD
2024-08-16,Tim Hortons,Tim Hortons purchase,-18.91,Coffee,Family,RBC,CAD
2024-08-16,Uber Eats,RBC card transaction at Uber Eats,-178.48,Dining,Family,RBC,CAD
2024-08-17,RESP Transfer,RESP Transfer purchase,-629.11,Savings/Investments,Family,RBC,CAD
2024-08-17,YMCA Childcare,Childcare payment - YMCA Childcare,-965.01,Childcare,Family,RBC,CAD
2024-08-18,Manulife Insurance,Manulife Insurance debit transaction,-164.94,Insurance,Family,RBC,CAD
2024-08-19,Costco,Costco purchase,-165.46,Groceries,Family,RBC,CAD
2024-08-20,Kids & Company,Kids & Company purchase,-1081.08,Childcare,Family,RBC,CAD
2024-08-20,RESP Transfer,RESP Transfer purchase,-721.25,Savings/Investments,Family,RBC,CAD
2024-08-20,Walmart Grocery,Walmart Grocery purchase,-269.66,Groceries,Family,RBC,CAD
2024-08-22,Canada Child Benefit,Direct deposit from Canada Child Benefit,6844.39,Income,Family,RBC,CAD
2024-08-22,Shell,Shell debit transaction,-76.47,Transportation,Family,RBC,CAD
2024-08-22,Starbucks,Starbucks purchase,-5.83,Coffee,Family,RBC,CAD
2024-08-23,Canadian Tire Gas,Canadian Tire Gas purchase,-80.39,Transportation,Family,RBC,CAD
2024-08-26,Petro Canada,RBC card transaction at Petro Canada,-256.55,Transportation,Family,RBC,CAD
2024-09-01,Boston Pizza,Dining payment - Boston Pizza,-117.82,Dining,Family,RBC,CAD
2024-09-01,Payroll Deposit,Payroll Deposit income deposit,7048.32,Income,Family,RBC,CAD
2024-09-01,YMCA Childcare,RBC card transaction at YMCA Childcare,-608.3,Childcare,Family,RBC,CAD
2024-09-02,LifeLabs,LifeLabs debit transaction,-283.14,Healthcare,Family,RBC,CAD
2024-09-02,Property Tax,Property Tax purchase,-3952.09,Housing,Family,RBC,CAD
2024-09-02,Uber Eats,Uber Eats debit transaction,-192.12,Dining,Family,RBC,CAD
2024-09-02,Walmart Grocery,Walmart Grocery debit transaction,-208.67,Groceries,Family,RBC,CAD
2024-09-03,Canadian Tire Gas,RBC card transaction at Canadian Tire Gas,-164.08,Transportation,Family,RBC,CAD
2024-09-05,School Lunch Program,School Lunch Program debit transaction,-1081.32,Childcare,Family,RBC,CAD
2024-09-05,Walmart Grocery,RBC card transaction at Walmart Grocery,-108.84,Groceries,Family,RBC,CAD
2024-09-09,Manulife Insurance,Insurance payment - Manulife Insurance,-200.36,Insurance,Family,RBC,CAD
2024-09-10,Enbridge Gas,Enbridge Gas purchase,-366.54,Utilities,Family,RBC,CAD
2024-09-11,Costco,RBC card transaction at Costco,-137.62,Groceries,Family,RBC,CAD
2024-09-11,Petro Canada,Transportation payment - Petro Canada,-180.28,Transportation,Family,RBC,CAD
2024-09-13,Swiss Chalet,Swiss Chalet debit transaction,-159.37,Dining,Family,RBC,CAD
2024-09-14,YMCA Childcare,Childcare payment - YMCA Childcare,-475.32,Childcare,Family,RBC,CAD
2024-09-15,Spotify Family,Spotify Family purchase,-16.44,Subscriptions,Family,RBC,CAD
2024-09-16,Netflix,Netflix debit transaction,-22.91,Subscriptions,Family,RBC,CAD
2024-09-17,Boston Pizza,Boston Pizza debit transaction,-109.9,Dining,Family,RBC,CAD
2024-09-17,LifeLabs,Healthcare payment - LifeLabs,-358.93,Healthcare,Family,RBC,CAD
2024-09-18,Auto Insurance,Insurance payment - Auto Insurance,-303.31,Insurance,Family,RBC,CAD
2024-09-19,Canadian Tire Gas,Canadian Tire Gas purchase,-245.05,Transportation,Family,RBC,CAD
2024-09-20,Property Tax,Housing payment - Property Tax,-2468.83,Housing,Family,RBC,CAD
2024-09-26,Shell,RBC card transaction at Shell,-177.72,Transportation,Family,RBC,CAD
2024-09-29,Hydro One,Hydro One purchase,-132.59,Utilities,Family,RBC,CAD
2024-09-29,Petro Canada,RBC card transaction at Petro Canada,-247.82,Transportation,Family,RBC,CAD
2024-09-30,Costco,Groceries payment - Costco,-81.17,Groceries,Family,RBC,CAD
2024-10-01,Payroll Deposit,Payroll Deposit income deposit,8943.79,Income,Family,RBC,CAD
2024-10-02,Property Tax,RBC card transaction at Property Tax,-2601.55,Housing,Family,RBC,CAD
2024-10-05,Canada Child Benefit,Direct deposit from Canada Child Benefit,7412.82,Income,Family,RBC,CAD
2024-10-05,Loblaws,Groceries payment - Loblaws,-343.53,Groceries,Family,RBC,CAD
2024-10-05,School Lunch Program,School Lunch Program debit transaction,-454.19,Childcare,Family,RBC,CAD
2024-10-09,Netflix,Netflix purchase,-32.21,Subscriptions,Family,RBC,CAD
2024-10-09,Rogers Mobile,Rogers Mobile purchase,-181.6,Utilities,Family,RBC,CAD
2024-10-10,Farm Boy,Farm Boy debit transaction,-123.37,Groceries,Family,RBC,CAD
2024-10-10,Hydro One,Hydro One debit transaction,-312.92,Utilities,Family,RBC,CAD
2024-10-15,Netflix,Netflix debit transaction,-15.13,Subscriptions,Family,RBC,CAD
2024-10-15,YMCA Childcare,YMCA Childcare purchase,-976.24,Childcare,Family,RBC,CAD
2024-10-18,Auto Insurance,Insurance payment - Auto Insurance,-94.59,Insurance,Family,RBC,CAD
2024-10-19,Loblaws,RBC card transaction at Loblaws,-383.68,Groceries,Family,RBC,CAD
2024-10-20,Wealthsimple,Savings/Investments payment - Wealthsimple,-186.71,Savings/Investments,Family,RBC,CAD
2024-10-23,Canadian Tire Gas,RBC card transaction at Canadian Tire Gas,-246.29,Transportation,Family,RBC,CAD
2024-10-23,Starbucks,Starbucks purchase,-20.19,Coffee,Family,RBC,CAD
2024-10-24,Swiss Chalet,Dining payment - Swiss Chalet,-151.37,Dining,Family,RBC,CAD
2024-10-25,Canadian Tire Gas,RBC card transaction at Canadian Tire Gas,-72.29,Transportation,Family,RBC,CAD
2024-10-30,RESP Transfer,RESP Transfer debit transaction,-1093.82,Savings/Investments,Family,RBC,CAD
2024-10-30,Shell,Shell debit transaction,-218.74,Transportation,Family,RBC,CAD
2024-11-01,Canada Child Benefit,Direct deposit from Canada Child Benefit,6984.49,Income,Family,RBC,CAD
2024-11-02,Mortgage Payment,Housing payment - Mortgage Payment,-2284.08,Housing,Family,RBC,CAD
2024-11-06,Disney+,Disney+ debit transaction,-15.67,Subscriptions,Family,RBC,CAD
2024-11-09,Dental Clinic,RBC card transaction at Dental Clinic,-62.6,Healthcare,Family,RBC,CAD
2024-11-10,Hydro One,Hydro One purchase,-222.36,Utilities,Family,RBC,CAD
2024-11-10,Hydro One,Hydro One purchase,-254.59,Utilities,Family,RBC,CAD
2024-11-10,Starbucks,RBC card transaction at Starbucks,-13.21,Coffee,Family,RBC,CAD
2024-11-12,Shoppers Drug Mart,Shoppers Drug Mart purchase,-185.89,Healthcare,Family,RBC,CAD
2024-11-15,Canadian Tire Gas,Transportation payment - Canadian Tire Gas,-248.99,Transportation,Family,RBC,CAD
2024-11-15,Disney+,RBC card transaction at Disney+,-16.5,Subscriptions,Family,RBC,CAD
2024-11-15,LifeLabs,RBC card transaction at LifeLabs,-228.41,Healthcare,Family,RBC,CAD
2024-11-16,Petro Canada,Transportation payment - Petro Canada,-107.56,Transportation,Family,RBC,CAD
2024-11-17,Tim Hortons,Coffee payment - Tim Hortons,-20.79,Coffee,Family,RBC,CAD
2024-11-18,Sun Life,Insurance payment - Sun Life,-158.75,Insurance,Family,RBC,CAD
2024-11-19,Tim Hortons,Coffee payment - Tim Hortons,-9.43,Coffee,Family,RBC,CAD
2024-11-21,Shoppers Drug Mart,Shoppers Drug Mart purchase,-168.61,Healthcare,Family,RBC,CAD
2024-11-23,Loblaws,RBC card transaction at Loblaws,-275.68,Groceries,Family,RBC,CAD
2024-11-24,Tim Hortons,RBC card transaction at Tim Hortons,-14.0,Coffee,Family,RBC,CAD
2024-11-26,Boston Pizza,Boston Pizza purchase,-43.87,Dining,Family,RBC,CAD
2024-11-26,Dental Clinic,Dental Clinic debit transaction,-136.47,Healthcare,Family,RBC,CAD
2024-11-26,Starbucks,Starbucks purchase,-19.54,Coffee,Family,RBC,CAD
2024-11-28,Swiss Chalet,Dining payment - Swiss Chalet,-61.98,Dining,Family,RBC,CAD
2024-11-29,Petro Canada,Transportation payment - Petro Canada,-114.21,Transportation,Family,RBC,CAD
2024-11-30,Wealthsimple,Savings/Investments payment - Wealthsimple,-1092.03,Savings/Investments,Family,RBC,CAD
2024-12-01,Canada Child Benefit,Canada Child Benefit income deposit,5222.72,Income,Family,RBC,CAD
2024-12-01,Farm Boy,Farm Boy debit transaction,-364.41,Groceries,Family,RBC,CAD
2024-12-01,Kids & Company,Childcare payment - Kids & Company,-514.8,Childcare,Family,RBC,CAD
2024-12-02,Property Tax,Property Tax purchase,-4208.33,Housing,Family,RBC,CAD
2024-12-05,Auto Insurance,RBC card transaction at Auto Insurance,-314.95,Insurance,Family,RBC,CAD
2024-12-05,School Lunch Program,School Lunch Program debit transaction,-149.79,Childcare,Family,RBC,CAD
2024-12-10,Hydro One,RBC card transaction at Hydro One,-355.36,Utilities,Family,RBC,CAD
2024-12-15,Disney+,Disney+ purchase,-30.59,Subscriptions,Family,RBC,CAD
2024-12-17,Loblaws,Groceries payment - Loblaws,-390.13,Groceries,Family,RBC,CAD
2024-12-17,Sun Life,RBC card transaction at Sun Life,-107.34,Insurance,Family,RBC,CAD
2024-12-18,Sun Life,Sun Life purchase,-139.84,Insurance,Family,RBC,CAD
2024-12-20,TFSA Transfer,Savings/Investments payment - TFSA Transfer,-302.39,Savings/Investments,Family,RBC,CAD
2024-12-21,Canadian Tire Gas,Transportation payment - Canadian Tire Gas,-48.67,Transportation,Family,RBC,CAD
2024-12-21,Shell,RBC card transaction at Shell,-197.58,Transportation,Family,RBC,CAD
2024-12-25,Petro Canada,Petro Canada purchase,-231.44,Transportation,Family,RBC,CAD
2024-12-26,Shell,RBC card transaction at Shell,-199.55,Transportation,Family,RBC,CAD
2025-01-01,Canada Child Benefit,Canada Child Benefit income deposit,5517.27,Income,Family,RBC,CAD
2025-01-01,Swiss Chalet,Swiss Chalet debit transaction,-114.37,Dining,Family,RBC,CAD
2025-01-02,Costco,Costco purchase,-142.49,Groceries,Family,RBC,CAD
2025-01-02,Property Tax,RBC card transaction at Property Tax,-3729.59,Housing,Family,RBC,CAD
2025-01-05,YMCA Childcare,YMCA Childcare purchase,-752.62,Childcare,Family,RBC,CAD
2025-01-06,Property Tax,Property Tax debit transaction,-2199.18,Housing,Family,RBC,CAD
2025-01-10,Hydro One,Utilities payment - Hydro One,-101.64,Utilities,Family,RBC,CAD
2025-01-10,Walmart Grocery,Groceries payment - Walmart Grocery,-367.83,Groceries,Family,RBC,CAD
2025-01-15,Spotify Family,Spotify Family debit transaction,-24.79,Subscriptions,Family,RBC,CAD
2025-01-16,LifeLabs,Healthcare payment - LifeLabs,-299.62,Healthcare,Family,RBC,CAD
2025-01-18,Manulife Insurance,Manulife Insurance debit transaction,-315.26,Insurance,Family,RBC,CAD
2025-01-19,Loblaws,Groceries payment - Loblaws,-351.01,Groceries,Family,RBC,CAD
2025-01-23,Shoppers Drug Mart,RBC card transaction at Shoppers Drug Mart,-346.92,Healthcare,Family,RBC,CAD
2025-01-23,Shoppers Drug Mart,Healthcare payment - Shoppers Drug Mart,-344.34,Healthcare,Family,RBC,CAD
2025-01-24,Boston Pizza,RBC card transaction at Boston Pizza,-130.33,Dining,Family,RBC,CAD
2025-01-29,Shell,Shell debit transaction,-52.31,Transportation,Family,RBC,CAD
2025-01-31,Costco,Groceries payment - Costco,-389.53,Groceries,Family,RBC,CAD
2025-02-01,Canada Child Benefit,Canada Child Benefit income deposit,8256.41,Income,Family,RBC,CAD
2025-02-01,Starbucks,Starbucks debit transaction,-27.94,Coffee,Family,RBC,CAD
2025-02-02,Mortgage Payment,Mortgage Payment purchase,-4079.22,Housing,Family,RBC,CAD
2025-02-04,Shoppers Drug Mart,Healthcare payment - Shoppers Drug Mart,-118.53,Healthcare,Family,RBC,CAD
2025-02-04,Starbucks,Starbucks debit transaction,-14.56,Coffee,Family,RBC,CAD
2025-02-05,Kids & Company,RBC card transaction at Kids & Company,-181.41,Childcare,Family,RBC,CAD
2025-02-05,Swiss Chalet,Swiss Chalet debit transaction,-82.02,Dining,Family,RBC,CAD
2025-02-06,Boston Pizza,Boston Pizza purchase,-58.52,Dining,Family,RBC,CAD
2025-02-07,Wealthsimple,Wealthsimple debit transaction,-489.48,Savings/Investments,Family,RBC,CAD
